label;label_text;text
1;vague;Green Team members work to reduce Verizones environmental  impact, as well as their own personal impact, by participating in a variety of educational  webinars and curated volunteer activities across the globe.
0;not vague;As a result of our  efforts, we have successfully played a role in cracking  down on numerous cases involving wildlife hunting,  collection, and illegal trade.
0;not vague;We also created  online diversity and inclusion educational  resources for managers and employees.
0;not vague;This innovation has  the potential to enable recyclers to recover the materials  at a higher quality.
0;not vague;The event, sponsored by the  Foundation, hosted dozens of volunteers to clean up  parks, plant flowers, clear and trim brush and provide  exterior repairs in an effort to revitalize the Birmingham  neighborhood adjacent to the Toledo DR plant.
0;not vague;Afforestation creating a forest on land  not previously forested projects will be  spread across sites spanning 883 hectares  and are expected to remove over 330,000  tonnes of residual carbon emissions from the  atmosphere.
0;not vague;Through  ABOUT   CLEVELAND-CLIFFS efforts to reduce our GHG emissions we are working  to preserve the environment for future generations.
0;not vague;Six of our leased data centers  in Guangdong achieved a clean energy consumption  rate of 100%.
0;not vague;One of its tasks is to implement the measures necessary to reach the decarbonization targets at an operational level  globally.
0;not vague;Through Race to Zero and America is All In, we are tracking  our shared commitment to support the Paris Agreement  and efforts to achieve robust near-term emissions  targets.
0;not vague;As the cobalt and  mica programs through the RBAs Responsible  Minerals Initiative (RMI) matures, our goal is  to only source from conflict-free refiners.
0;not vague;Lindes trajectory foresees a much earlier decline in absolute  emissions, reaching climate neutrality by 2050.
1;vague;It also informs our efforts to  protect the environment.
0;not vague;In addition,  we also worked extensively to develop ways to prevent sending meat waste to  the landfill across four of our other facilities.
0;not vague;Future emissions, including offsets and removals, are displayed as a linear trend to reach net-zero carbon emissions by 2030.
0;not vague;Starting in 2022, all new campuses  adopted Tier 1 sanitary ware, enabling a 40% reduction  in water consumption compared to traditional ones.
1;vague;That is why  we are focused on providing the products the  world needs while working to develop and deploy  solutions to reduce plastic waste.
1;vague;Through our  high-quality solutions, products, technologies and services, we are  making our customers more successful and helping to sustain and  protect our planet.
0;not vague;This pledge aligns with our goals of 50% of   our global vehicle mix fully electric by 2030 and all new vehicles in Europe  zero-emission by 2035.
0;not vague;This portfolio of  projects that primarily comply with the international  VCS standards help us decrease the emissions of the  value chain by 115,394.0 MtCO2e.
0;not vague;In 2022, Ford Pro rolled out municipal loan options   for charging solutions including installation, hardware and software for  government customers.
0;not vague;We must continue to build and optimize structures and processes  step by step so that we can achieve  the important interim targets on   the way to our 2030 climate goals.
0;not vague;We continue to invest in retrofits  to boilers, air compressors, HVAC systems, and lighting, enabling   us to improve our carbon efficiency and reduce costs.
0;not vague;UL Solutions requires at least 90 percent diversion  through methods other than waste-to-energy to achieve Zero  Waste to Landfill (Silver: 90-94 percent, Gold: 95-99 percent,  and Platinum: 100 percent) designations.
0;not vague;As we eliminate plastic in our packaging, we continue to  make sure that the wood fiber comes from responsible  sources.
